time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.80895990854e-07,1.02789767646e-07,10.0033749725,0.000112603153395,0.000264362851496,0.0,-2.43412211621e-05,9.52514155438e-06,0.112493871657,0.00538846647912,0.0120154904452,0.0,440.18267091968175,441.1756293452891,440.79053042062685,441.23548808454325
0.12000000000000001,-1.23480980542e-05,5.50194187309e-06,10.019215622,0.000608631935798,0.00094699974572,0.0,-0.000470604087988,0.000225262019298,0.41546680512,0.0134791641089,0.0100693018035,0.0,496.62366833620325,496.480783947422,497.5191471646454,498.11094624374005
0.18,-5.82626378749e-05,3.17051213282e-05,10.0431937709,0.00144207272244,0.00152807824867,0.0,-0.00110880068819,0.000715947103359,0.383816235017,0.0147012338609,0.00890400683575,0.0,392.9381569475712,392.83002251603546,393.2618727949579,393.37495042224333
0.23999999999999996,-0.000166069303956,0.000114900560085,10.0735792342,0.0018973462846,0.0024744821857,0.0,-0.00257931931008,0.00214758337938,0.628929348278,-0.0130636422318,0.0268330194969,0.0,479.90393520814564,481.2625845317614,482.334616114841,480.2334730992714
0.3,-0.000378226652631,0.000280054639671,10.1143526274,0.00115722285126,0.00410668082881,0.0,-0.00465808497347,0.00327962499194,0.730123695881,-0.0109173043856,0.0279336869458,0.0,439.1516326453844,439.24309385495366,436.1186404579421,436.2979681119493
0.36000000000000004,-0.000759926479895,0.000502764106846,10.1636464017,0.00162575798868,0.00576615390728,0.0,-0.00825523096686,0.00414976752719,0.912872857145,0.0307760683657,0.0271005806099,0.0,462.09942084725543,462.03391314269646,462.2548941276451,465.5283757130834
0.4200000000000001,-0.00136631519854,0.000788290060839,10.2190811157,0.00393431527889,0.00717231563877,0.0,-0.0120959049761,0.0055586388783,0.934931666039,0.0505981799503,0.0148591051808,0.0,412.5258286429821,411.44370011632304,411.731558221663,413.4821384643196
0.48000000000000015,-0.00224044773,0.00121274791628,10.2777067086,0.00714771124535,0.00831050188593,0.0,-0.0171435358086,0.00890163751126,1.01918068642,0.0588973408006,0.0261316203736,0.0,431.2620338449381,432.2129739424693,433.4724926587845,434.1712205865477
0.5400000000000001,-0.00346871306408,0.0019279654711,10.3444210657,0.0103454643053,0.00958298491302,0.0,-0.0239627674082,0.015327244786,1.20444952226,0.0386977580857,0.00888245844109,0.0,464.660503820939,463.3064395167229,465.27415815964514,463.69187710483305
0.6000000000000002,-0.0051108843185,0.00307571559025,10.4201279899,0.0132555141478,0.0102414842653,0.0,-0.0308374431409,0.0232073562272,1.31898529623,0.0631280255562,0.0148620668891,0.0,442.26164022111806,442.7537021855887,442.41884506322975,444.42691994634816
0.6600000000000003,-0.00719021843643,0.00477543552586,10.5036108764,0.0172271642031,0.0107015603123,0.0,-0.0385525382186,0.0338695094177,1.46359619745,0.0717098842623,-0.013357008842,0.0,454.16585845590095,451.8970392869133,451.79621166477557,452.49069299161044
0.7200000000000003,-0.00968605711352,0.00711945465061,10.5910708233,0.0211859465324,0.00994874604192,0.0,-0.0445759426176,0.0446207510785,1.45174426716,0.0509266211852,-0.0109740574788,0.0,401.2936714847002,401.5100053518771,403.7191413343226,401.8432980108735
0.7800000000000004,-0.0125887147769,0.0103008020338,10.6836908286,0.0242150487665,0.00953248910177,0.0,-0.0521166871358,0.0617667370918,1.63533704575,0.0495872367292,0.000111427413021,0.0,464.27013836537145,465.1391195159688,464.90784033765993,464.8043854592483
0.8400000000000004,-0.015942156229,0.0145943981337,10.7878790017,0.0269110725559,0.00909785378075,0.0,-0.0596451329056,0.0816800469781,1.83729052553,0.0334634463573,-0.0290332855411,0.0,472.33325183886086,470.08046236160175,470.9684323016295,469.72080802772655
0.9000000000000005,-0.0197553352646,0.0202235902004,10.9071536319,0.0285749560778,0.00738542521342,0.0,-0.0672289931919,0.106192046639,2.13801229405,0.0126640330987,-0.0275727827585,0.0,499.4972613217049,499.6036239986336,500.69232347207526,499.17702548602807
0.9600000000000005,-0.0239569881669,0.0272716436073,11.0413273987,0.0288751616792,0.00639390750331,0.0,-0.072676845968,0.12880274214,2.33406514633,-0.0183176645961,-0.000527126800404,0.0,469.0794968663729,471.1749829118724,472.59745233296803,470.20349194890485
1.0200000000000005,-0.0284606933331,0.0356408936634,11.1860736244,0.0277390623173,0.00642429720406,0.0,-0.0774446618345,0.150039039589,2.49048391388,-0.0201990430939,0.00249767351822,0.0,458.6818527683215,458.92198887055207,460.6486254051569,460.499895732357
1.0800000000000005,-0.0332261955877,0.0451491204887,11.3362393092,0.0263652958406,0.00645495659199,0.0,-0.0814136517668,0.166782830673,2.51498755499,-0.0289239180929,-0.00379242123233,0.0,419.30011398377775,418.7533039996394,418.4187649410619,417.6584242506155
1.1400000000000006,-0.0382701231779,0.0557995273688,11.4941942639,0.0247082216639,0.006530952506,0.0,-0.0867065719684,0.188009344033,2.74964799522,-0.0251264222528,0.0098372744549,0.0,483.21068682168027,484.23702435315977,483.2908127729997,483.57681985348586
1.2000000000000006,-0.0436181544322,0.0676146773043,11.6634228506,0.0230466468543,0.00700719358846,0.0,-0.0916168746102,0.205648889993,2.89096124024,-0.0333947594454,0.00383742021088,0.0,457.4134360816782,456.93526886309576,457.15600268417745,456.4965190504849
1.2600000000000007,-0.0492401702941,0.0803543579134,11.8369304243,0.0209848643083,0.00703306797255,0.0,-0.0957958613848,0.218828222483,2.89262414226,-0.0363730954985,-0.00744184122911,0.0,413.93973180747093,412.9459444681542,412.6477717321369,412.38417551097854
